type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
TRANSFER,4640633.37,4640633.37,0.0,0.0,0.0,1
CASH_OUT,424962.9,424962.9,0.0,322327.23,747290.13,1
TRANSFER,484772.73,484772.73,0.0,0.0,0.0,1
TRANSFER,457789.14,457789.14,0.0,0.0,0.0,1
CASH_OUT,186567.41,186567.41,0.0,0.0,186567.41,1
CASH_OUT,230652.43,230652.43,0.0,55063.86,285716.3,1
CASH_OUT,2897907.81,2897907.81,0.0,351034.56,3248942.38,1
TRANSFER,171878.27,171878.27,0.0,0.0,0.0,1
CASH_OUT,457789.14,457789.14,0.0,0.0,457789.14,1
TRANSFER,197943.1,197943.1,0.0,0.0,0.0,1
TRANSFER,138373.64,138373.64,0.0,0.0,0.0,1
CASH_OUT,326250.51,326250.51,0.0,83999.86,410250.38,1
TRANSFER,227994.78,227994.78,0.0,0.0,0.0,1
TRANSFER,280258.44,280258.44,0.0,0.0,0.0,1
TRANSFER,1650.08,1650.08,0.0,0.0,0.0,1
TRANSFER,1540624.7,1540624.7,0.0,0.0,0.0,1
TRANSFER,353090.95,353090.95,0.0,0.0,0.0,1
CASH_OUT,5937.19,5937.19,0.0,36171.27,42108.46,1
CASH_OUT,1266752.6,1266752.6,0.0,0.0,1266752.6,1
CASH_OUT,171880.67,171880.67,0.0,2893198.81,3086348.25,1
CASH_OUT,1732090.28,1732090.28,0.0,998647.97,2730738.25,1
CASH_OUT,489944.93,489944.93,0.0,297207.53,787152.46,1
CASH_OUT,299016.86,299016.86,0.0,187459.53,486476.39,1
CASH_OUT,71511.19,71511.19,0.0,0.0,71511.19,1
TRANSFER,620512.76,620512.76,0.0,0.0,0.0,1
CASH_OUT,133057.11,133057.11,0.0,27926.24,160983.35,1
TRANSFER,80800.21,80800.21,0.0,0.0,0.0,1
CASH_OUT,1005346.72,1005346.72,0.0,227.11,1005573.83,1
CASH_OUT,5349.74,5349.74,0.0,585780.87,591130.61,1
CASH_OUT,119443.3,119443.3,0.0,890204.05,1009647.35,1
CASH_OUT,148680.12,148680.12,0.0,0.0,148680.12,1
CASH_OUT,73946.79,73946.79,0.0,518296.65,592243.44,1
CASH_OUT,29473.67,29473.67,0.0,32212.58,61686.25,1
CASH_OUT,4348.62,4348.62,0.0,4139226.47,4143575.09,1
CASH_OUT,1031608.37,1031608.37,0.0,0.0,1031608.37,1
CASH_OUT,21358.8,21358.8,0.0,8903356.2,8924714.99,1
TRANSFER,60274.87,60274.87,0.0,0.0,0.0,1
CASH_OUT,298754.96,298754.96,0.0,1865811.93,2164566.89,1
CASH_OUT,1857935.57,1857935.57,0.0,738704.8,2596640.37,1
TRANSFER,2079746.13,2079746.13,0.0,0.0,0.0,1
PAYMENT,13396.81,15064.31,1667.49,0.0,0.0,0
CASH_OUT,333961.41,17071.0,0.0,532750.78,866712.19,0
TRANSFER,423045.16,0.0,0.0,2321066.98,2744112.14,0
PAYMENT,1732.88,0.0,0.0,0.0,0.0,0
CASH_OUT,119790.78,10370.0,0.0,0.0,119790.78,0
CASH_OUT,36755.52,408.0,0.0,0.0,36755.52,0
PAYMENT,19138.03,0.0,0.0,0.0,0.0,0
CASH_OUT,97929.93,0.0,0.0,535518.75,633448.68,0
CASH_OUT,144041.39,3758.0,0.0,52451.58,196492.96,0
CASH_IN,88146.99,10564.0,98710.99,1726637.49,1638490.5,0
PAYMENT,28986.2,0.0,0.0,0.0,0.0,0
CASH_IN,98179.8,10287.0,108466.8,14324702.86,14226523.06,0
PAYMENT,4484.01,48387.0,43902.99,0.0,0.0,0
CASH_OUT,146095.73,2050.0,0.0,0.0,146095.73,0
CASH_OUT,436968.17,102600.0,0.0,812750.96,1249719.14,0
DEBIT,9334.92,5727.0,0.0,34199.19,43534.12,0
CASH_IN,229507.83,30834.0,260341.83,408253.68,178745.85,0
CASH_OUT,17404.84,20726.0,3321.16,352363.92,369768.76,0
CASH_OUT,518651.42,25849.0,0.0,26475.08,545126.5,0
CASH_OUT,245873.07,77755.6,0.0,3298007.59,3543880.66,0
PAYMENT,986.92,45317.1,44330.18,0.0,0.0,0
TRANSFER,1991170.97,55669.0,0.0,60031.44,2051202.41,0
CASH_IN,380784.98,16338210.6,16718995.58,3286455.21,2905670.23,0
PAYMENT,1483.9,18331.0,16847.1,0.0,0.0,0
CASH_OUT,182984.04,0.0,0.0,1291670.32,1474654.36,0
CASH_OUT,305664.5,8.0,0.0,0.0,305664.5,0
CASH_OUT,339708.28,0.0,0.0,357984.5,697692.78,0
CASH_OUT,191548.15,10952.0,0.0,19554.4,211102.55,0
CASH_OUT,504303.34,10563.0,0.0,0.0,504303.34,0
PAYMENT,19313.76,21567.59,2253.82,0.0,0.0,0
PAYMENT,25104.56,50756.0,25651.44,0.0,0.0,0
PAYMENT,21513.51,0.0,0.0,0.0,0.0,0
DEBIT,534.25,31528.0,30993.75,11396894.62,11397428.88,0
CASH_OUT,59196.88,869.0,0.0,122101.16,181298.04,0
CASH_OUT,176101.29,85283.0,0.0,45301.22,221402.51,0
PAYMENT,2101.57,373027.44,370925.87,0.0,0.0,0
TRANSFER,648940.3,0.0,0.0,5917706.3,6566646.6,0
PAYMENT,6902.38,333481.47,326579.1,0.0,0.0,0
CASH_IN,84059.96,662005.0,746064.96,0.0,0.0,0
CASH_IN,373726.59,18006.0,391732.59,7199628.65,6825902.06,0
