threshold,precision,recall
1.0,1.0,0.13348
1.0,1.0,0.1372
1.0,1.0,0.13851
1.0,1.0,0.14114
1.0,1.0,0.14267
1.0,1.0,0.14442
1.0,1.0,0.14683
1.0,1.0,0.1488
1.0,1.0,0.15098
1.0,1.0,0.15317
1.0,1.0,0.15536
1.0,1.0,0.15755
1.0,1.0,0.15974
1.0,1.0,0.16193
1.0,1.0,0.16389
1.0,1.0,0.16608
1.0,1.0,0.16827
1.0,1.0,0.17046
1.0,1.0,0.17265
1.0,1.0,0.17484
1.0,1.0,0.17702
1.0,1.0,0.17921
1.0,1.0,0.1814
1.0,1.0,0.18359
1.0,1.0,0.18578
1.0,1.0,0.18796
1.0,1.0,0.19015
1.0,1.0,0.19212
1.0,1.0,0.19431
1.0,1.0,0.1965
1.0,1.0,0.19869
1.0,1.0,0.20088
1.0,1.0,0.20306
1.0,1.0,0.20525
1.0,1.0,0.20744
1.0,1.0,0.20963
1.0,1.0,0.21182
1.0,1.0,0.214
1.0,1.0,0.21619
1.0,1.0,0.21838
1.0,1.0,0.22035
1.0,1.0,0.22254
1.0,1.0,0.22473
1.0,1.0,0.22691
1.0,1.0,0.2291
1.0,1.0,0.23129
1.0,1.0,0.23348
1.0,1.0,0.23567
1.0,1.0,0.23786
1.0,1.0,0.24004
1.0,1.0,0.24223
1.0,1.0,0.24442
1.0,1.0,0.24661
1.0,1.0,0.2488
1.0,1.0,0.25077
1.0,1.0,0.25295
1.0,1.0,0.25514
1.0,0.99915,0.25733
1.0,0.99916,0.25952
1.0,0.99916,0.26171
1.0,0.99917,0.26389
1.0,0.99918,0.26608
1.0,0.99919,0.26827
1.0,0.99919,0.27046
1.0,0.9992,0.27265
1.0,0.99841,0.27484
1.0,0.99842,0.27702
1.0,0.99843,0.27899
1.0,0.99845,0.28118
0.999999,0.99846,0.28337
0.999999,0.99847,0.28556
0.999999,0.99848,0.28775
0.999999,0.99849,0.28993
0.999999,0.9985,0.29212
0.999999,0.99852,0.29431
0.999999,0.99853,0.2965
0.999998,0.99854,0.29869
0.999998,0.99782,0.30088
0.999998,0.99784,0.30306
0.999998,0.99714,0.30525
0.999997,0.99716,0.30722
0.999997,0.99718,0.30941
0.999997,0.9972,0.3116
0.999996,0.99722,0.31379
0.999996,0.99724,0.31597
0.999995,0.99726,0.31816
0.999995,0.99728,0.32035
0.999994,0.99729,0.32254
0.999994,0.99731,0.32473
0.999993,0.99733,0.32691
0.999992,0.99735,0.3291
0.999991,0.99736,0.33129
0.99999,0.99673,0.33348
0.999988,0.99675,0.33567
0.999986,0.99484,0.33764
0.999986,0.99424,0.33982
0.999984,0.99364,0.34201
0.999982,0.99368,0.3442
0.99998,0.99372,0.34639
0.999978,0.99252,0.34858
0.999975,0.99196,0.35077
0.999974,0.99079,0.35295
0.999971,0.99024,0.35514
0.999968,0.9897,0.35733
0.999966,0.98976,0.35952
0.999962,0.98923,0.36171
0.99996,0.98929,0.36389
0.999957,0.9876,0.36586
0.999954,0.98535,0.36805
0.99995,0.98487,0.37024
0.999941,0.98268,0.37243
0.999937,0.98278,0.37462
0.999932,0.98176,0.37681
0.999922,0.98075,0.37899
0.999913,0.97975,0.38118
0.999906,0.97822,0.38337
0.999896,0.9751,0.38556
0.999888,0.97363,0.38775
0.999879,0.97218,0.38993
0.999868,0.97127,0.39212
0.99986,0.97141,0.39409
0.999846,0.97001,0.39628
0.999837,0.96913,0.39847
0.999826,0.9693,0.40066
0.999817,0.96844,0.40284
0.999792,0.96406,0.40503
0.999768,0.95977,0.40722
0.999752,0.9585,0.40941
0.999725,0.95677,0.4116
0.999696,0.95312,0.41379
0.999674,0.95193,0.41597
0.999644,0.94745,0.41816
0.999611,0.94631,0.42035
0.999593,0.94654,0.42232
0.999575,0.94404,0.42451
0.999532,0.94021,0.4267
0.999495,0.93735,0.42888
0.999447,0.93454,0.43107
0.999402,0.93176,0.43326
0.99938,0.93078,0.43545
0.999341,0.93023,0.43764
0.999286,0.92669,0.43982
0.999216,0.92406,0.44201
0.999149,0.91772,0.4442
0.999085,0.91439,0.44639
0.999029,0.91152,0.44858
0.998995,0.90989,0.45077
0.998941,0.90825,0.45274
0.998883,0.90588,0.45492
0.998795,0.9016,0.45711
0.998758,0.90125,0.4593
0.998705,0.90051,0.46149
0.99862,0.89712,0.46368
0.99855,0.89567,0.46586
0.99845,0.89199,0.46805
0.998388,0.89096,0.47024
0.998317,0.88848,0.47243
0.998212,0.88494,0.47462
0.998119,0.8804,0.47681
0.998013,0.87771,0.47899
0.997937,0.8757,0.48096
0.997716,0.86861,0.48315
0.99753,0.86371,0.48534
0.997405,0.8599,0.48753
0.997256,0.85583,0.48972
0.997191,0.85345,0.4919
0.997084,0.85079,0.49409
0.99688,0.84501,0.49628
0.996724,0.84152,0.49847
0.996551,0.83718,0.50066
0.996465,0.83533,0.50284
0.996334,0.83382,0.50503
0.996225,0.83381,0.50722
0.99611,0.83226,0.50919
0.995998,0.82961,0.51138
0.995698,0.82264,0.51357
0.995417,0.81869,0.51575
0.99505,0.80895,0.51794
0.99477,0.8044,0.52013
0.994618,0.80154,0.52232
0.994438,0.7982,0.52451
0.994178,0.79387,0.5267
0.993907,0.78858,0.52888
0.993559,0.78341,0.53107
0.993321,0.78009,0.53326
0.99296,0.77363,0.53545
0.992712,0.77046,0.53764
0.992593,0.77055,0.53939
0.99253,0.76894,0.53961
0.992217,0.76396,0.54179
0.991755,0.75516,0.54398
0.991558,0.75362,0.54617
0.991188,0.74739,0.54836
0.990672,0.74,0.55055
0.990389,0.73537,0.55274
0.990085,0.73126,0.55492
0.989872,0.72868,0.55711
0.989524,0.72387,0.5593
0.989299,0.7218,0.56149
0.988875,0.71516,0.56368
0.988697,0.71397,0.56586
0.988075,0.70593,0.56783
0.987801,0.70291,0.57002
0.987344,0.69715,0.57221
0.986802,0.69206,0.5744
0.986505,0.68853,0.57659
0.986043,0.68346,0.57877
0.985531,0.67799,0.58096
0.985192,0.67451,0.58315
0.984593,0.66892,0.58534
0.983956,0.66313,0.58753
0.983346,0.6578,0.58972
0.982883,0.65212,0.5919
0.982385,0.64751,0.59409
0.981988,0.64321,0.59606
0.981662,0.64013,0.59825
0.980964,0.63284,0.60044
0.97998,0.62449,0.60263
0.979183,0.62029,0.60481
0.978792,0.61823,0.607
0.978231,0.61389,0.60919
0.97786,0.61111,0.61138
0.977112,0.60522,0.61357
0.976329,0.59834,0.61575
0.975547,0.59104,0.61794
0.975148,0.58882,0.62013
0.974614,0.58603,0.62232
0.973632,0.57914,0.62451
0.973279,0.57722,0.62648
0.972631,0.57311,0.62867
0.971971,0.56931,0.63085
0.971506,0.56614,0.63304
0.970699,0.5587,0.63523
0.969972,0.5556,0.63742
0.969198,0.55182,0.63961
0.968589,0.54792,0.64179
0.967581,0.54189,0.64398
0.966884,0.53808,0.64617
0.966443,0.53532,0.64836
0.965933,0.53414,0.65055
0.96465,0.52573,0.65274
0.963159,0.51675,0.6547
0.962341,0.51281,0.65689
0.96117,0.50554,0.65908
0.960069,0.49975,0.66127
0.959244,0.49664,0.66346
0.958652,0.49431,0.66565
0.958027,0.49091,0.66783
0.956323,0.48167,0.67002
0.955646,0.47933,0.67221
0.954639,0.47459,0.6744
0.954304,0.47358,0.67659
0.953327,0.46957,0.67877
0.952505,0.46643,0.68096
0.951487,0.46237,0.68293
0.950153,0.45555,0.68512
0.949395,0.45292,0.68731
0.948775,0.45066,0.6895
0.947878,0.44672,0.69168
0.94648,0.44011,0.69387
0.945442,0.43587,0.69606
0.944657,0.43338,0.69825
0.942554,0.42555,0.70044
0.941057,0.41914,0.70263
0.940389,0.41701,0.70481
0.937979,0.4078,0.707
0.936786,0.40386,0.70919
0.935316,0.39902,0.71116
0.934137,0.39458,0.71335
0.932343,0.38896,0.71554
0.931046,0.38543,0.71772
0.930226,0.38274,0.71991
0.92929,0.38027,0.7221
0.928378,0.37807,0.72429
0.927394,0.37595,0.72648
0.926285,0.37269,0.72867
0.925307,0.37062,0.73085
0.923908,0.36624,0.73304
0.922651,0.36301,0.73523
0.920739,0.35855,0.73742
0.918894,0.35319,0.73961
0.918114,0.35123,0.74158
0.9168,0.34723,0.74376
0.915899,0.34525,0.74595
0.914684,0.34132,0.74814
0.913067,0.33757,0.75033
0.912027,0.33515,0.75252
0.909993,0.33065,0.7547
0.908436,0.32709,0.75689
0.90719,0.32387,0.75908
0.906196,0.32213,0.76127
0.904661,0.31918,0.76346
0.903477,0.31708,0.76565
0.902176,0.3142,0.76783
0.90101,0.31127,0.7698
0.8987,0.30673,0.77199
0.896575,0.3017,0.77418
0.894835,0.2984,0.77637
0.892236,0.29289,0.77856
0.891123,0.29124,0.78074
0.889558,0.28815,0.78293
0.888391,0.2867,0.78512
0.886943,0.28416,0.78731
0.885082,0.28041,0.7895
0.883168,0.27637,0.79168
0.881987,0.27445,0.79387
0.880679,0.27241,0.79606
0.878201,0.26795,0.79803
0.877358,0.26699,0.80022
0.876137,0.2649,0.80241
0.874833,0.26259,0.8046
0.872965,0.25921,0.80678
0.869688,0.25284,0.80897
0.868281,0.25049,0.81116
0.867233,0.24905,0.81335
0.864495,0.24422,0.81554
0.862469,0.24091,0.81772
0.861102,0.23886,0.81991
0.859289,0.23647,0.8221
0.85764,0.234,0.82429
0.8559,0.23163,0.82648
0.854544,0.22955,0.82845
0.853196,0.22782,0.83063
0.851121,0.22483,0.83282
0.849859,0.22331,0.83501
0.848767,0.22181,0.8372
0.843503,0.21237,0.83939
0.838112,0.20372,0.84158
0.833067,0.19638,0.84376
0.823197,0.18214,0.84595
0.819926,0.17844,0.84814
0.815756,0.17392,0.85033
0.811644,0.16981,0.85252
0.807588,0.16531,0.8547
0.800489,0.15841,0.85667
0.794729,0.15342,0.85886
0.789028,0.14842,0.86105
0.781399,0.14238,0.86324
0.777699,0.14002,0.86543
0.768349,0.13357,0.86761
0.762887,0.13003,0.8698
0.757322,0.12658,0.87199
0.748058,0.12147,0.87418
0.743938,0.11918,0.87637
0.7398,0.11721,0.87856
0.733815,0.11432,0.88074
0.730509,0.11281,0.88293
0.727666,0.11159,0.8849
0.719294,0.1077,0.88709
0.70947,0.10321,0.88928
0.70217,0.10014,0.89147
0.695757,0.09753,0.89365
0.687427,0.09428,0.89584
0.682468,0.09249,0.89803
0.672832,0.08897,0.90022
0.665901,0.08674,0.90241
0.662074,0.08553,0.9046
0.656139,0.08377,0.90678
0.648607,0.08143,0.90897
0.643707,0.08001,0.91116
0.635147,0.07762,0.91335
0.631521,0.07663,0.91532
0.625078,0.07497,0.91751
0.617277,0.07299,0.91969
0.61138,0.07156,0.92188
0.606924,0.0704,0.92407
0.602739,0.06944,0.92626
0.598904,0.06856,0.92845
0.59462,0.0676,0.93063
0.589322,0.06637,0.93282
0.579239,0.0639,0.93501
0.574568,0.06291,0.9372
0.570784,0.06208,0.93939
0.562825,0.06022,0.94158
0.556708,0.05889,0.94354
0.551847,0.05785,0.94573
0.548641,0.05719,0.94792
0.543003,0.05596,0.95011
0.541018,0.05563,0.9523
0.536728,0.05477,0.95449
0.533133,0.05407,0.95667
0.526772,0.05265,0.95886
